,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
83,0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,76.19999694824219,3.1500001,,5.716273784637451
3,0.85699999,AND,WesternDem,32367.33,,,9.9799995,33.099998,8.127135276794434
129,,MHL,Pacific,2833.97,0.0540000014007092,,,,17.13572311401367
112,0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,23.0,,26.799999,4.730341911315918
75,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,1.799999952316284,7.4499998,17.5,8.859166145324707
138,0.84100002,PRT,WesternDem,23744.631,10.40100002288818,2.900000095367432,9.8800001,22.6,9.501075744628906
87,0.741,JOR,NorthAfrica,5188.9199,6.675000190734863,16.39999961853027,0.41,38.400002,7.452995777130127
16,0.60399997,BTN,SouthAsia,5639.02,0.765999972820282,35.70000076293945,0.23,,3.573014736175537
157,0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,18.39999961853027,4.0900002,23.700001,7.066778182983398
181,0.74800003,UKR,EastEurope,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916
117,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358
81,0.898,ISR,NorthAfrica,25926.25,8.211999893188477,3.299999952316284,2.6199999,30.4,7.808308124542236
88,0.55000001,KEN,SubSaharian,1494.63,40.70000076293945,48.70000076293945,1.84,13.6,5.720291137695313
100,0.84600002,LTU,EastEurope,17559.75,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880127
92,0.662,KGZ,EastEurope,3010.24,5.894999980926514,23.60000038146973,3.28,26.4,6.483762264251709
67,0.86500001,GRC,WesternDem,25295.27,10.92700004577637,4.099999904632568,7.5300002,43.400002,8.084266662597656
18,0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.699999809265137,4.0300002,39.200001,9.572015762329102
85,0.90200001,JPN,EastAsia,36123.77,127.120002746582,2.200000047683716,7.5500002,22.799999,10.22874450683594
64,0.92400002,DEU,WesternDem,39486.699,80.98300170898438,3.400000095367432,11.03,30.700001,11.29700088500977
187,0.39899999,BFA,SubSaharian,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301
31,0.64600003,CPV,SubSaharian,3972.6101,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902
158,0.88800001,SVN,EastEurope,24456.561,2.061000108718872,2.5,10.46,20.9,9.23388671875
132,0.78500003,PAN,LatAm,15137.04,3.788000106811523,15.89999961853027,6.7399998,7.4000001,8.025723457336426
58,0.89300001,FIN,WesternDem,36958.211,5.427000045776367,2.400000095367432,8.8000002,21.799999,9.679908752441406
77,0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,25.79999923706055,0.090000004,38.5,2.84686017036438
94,0.76300001,LBN,NorthAfrica,14711.97,4.382999897003174,8.0,1.3200001,37.0,6.3937087059021
106,0.43799999,MLI,SubSaharian,1063.26,14.85400009155273,79.5999984741211,0.61000001,18.6,6.862166404724121
171,0.73799998,THA,SouthEastAsia,9295.5703,68.65699768066406,11.39999961853027,6.4099998,21.5,4.122164249420166
11,0.82300001,BHR,NorthAfrica,22498.48,1.26800000667572,8.199999809265137,1.5700001,30.299999,4.980796337127686
177,0.764,TUR,NorthAfrica,16900.711,77.69599914550781,12.19999980926514,1.45,27.0,5.41495943069458
